,code,source,report,braw,bstd
0,GB,Mass,ADR,IMODIUM,Imodium
1,US,Mass,ADR,IMODIUM,Imodium
2,NL,Mass,ADR,IMODIUM,Imodium
3,ZA,Pharmacy,ADR,IMODIUM,Imodium
4,BE,Pharmacy,ADR, IMODIUM,Imodium
5,BE,Pharmacy,ADR,IMODIUM,Imodium
6,SA,Pharmacy,ADR,IMODIUM,Imodium
7,SA,Pharmacy,ADR,IMODIUM INSTANTS,Imodium
8,AE,Pharmacy,ADR,IMODIUM,Imodium
9,AE,Pharmacy,ADR,IMODIUM INSTANTS,Imodium
10,GR,Pharmacy,ADR,IMODIUM,Imodium
11,GR,Pharmacy,ADR,IMODIUM INSTANT,Imodium
12,GR,Pharmacy,ADR,IMODIUM PLUS,Imodium
13,IE,Pharmacy,ADR,IMODIUM,Imodium
14,IE,Pharmacy,ADR,IMODIUM PLUS,Imodium
15,FR,Pharmacy,ADR,IMODIUM,Imodium
16,RU,Pharmacy,ADR,IMODIUM,Imodium
17,DE,Pharmacy,ADR,IMODIUM,Imodium
18,IT,Pharmacy,ADR,IMODIUM,Imodium
19,NO,Pharmacy,ADR,IMODIUM,Imodium
20,NO,Pharmacy,ADR,IMODIUM COMP,Imodium
21,FI,Pharmacy,ADR,IMODIUM,Imodium
22,SE,Mass,ADR,IMODIUM,Imodium
23,SE,Pharmacy,ADR,IMODIUM,Imodium
24,SK,Pharmacy,ADR,IMODIUM,Imodium
25,SK,Pharmacy,ADR,IMODIUM DUO ACTION,Imodium
26,SK,Pharmacy,ADR,IMODIUM INSTANT,Imodium
27,PL,Pharmacy,ADR,IMODIUM,Imodium
28,CZ,Pharmacy,ADR,IMODIUM,Imodium
29,CZ,Pharmacy,ADR,IMODIUM PLUS,Imodium
30,CZ,Pharmacy,ADR,IMODIUM RAPID,Imodium
31,RO,Pharmacy,ADR,IMODIUM (Comp),Imodium
32,PT,Pharmacy,ADR,Imodium,Imodium
33,CH,Pharmacy,ADR,Imodium,Imodium
34,CH,Pharmacy,ADR,Imodium Duo,Imodium
35,CH,Pharmacy,ADR,Imodium Lingual,Imodium
36,CH,Pharmacy,ADR,Imodium Soft,Imodium
37,ES,Pharmacy,ADR,Imodium,Imodium
38,IZ,Pharmacy,ADR,IMODIUM,Imodium
39,DK,Pharmacy,ADR,Imodium,Imodium
40,DK,Pharmacy,ADR,Imodium Plus,Imodium
41,BG,Pharmacy,ADR,IMODIUM (Comp),Imodium
42,BG,Pharmacy,ADR,IMODIUM BTE>> (Comp),Imodium
43,KW,Pharmacy,ADR,IMODIUM,Imodium
44,KW,Pharmacy,ADR,IMODIUM INSTA.MELT,Imodium
45,KW,Pharmacy,ADR,IMODIUM INSTANT,Imodium
46,HU,Pharmacy,ADR,IMODIUM,Imodium
47,HU,Pharmacy,ADR,IMODIUM INSTANT,Imodium
48,HU,Pharmacy,ADR,IMODIUM KOMPLETT,Imodium
